Date,Close,High,Low,Open,Volume,Ticker,Category
2022-04-18,21.743412017822266,22.047856104528115,21.040691011493315,21.161471392693215,525701000,NVDA,Stock
2022-04-19,22.157657623291016,22.332338819215018,21.275263415595177,21.680525694021107,512781000,NVDA,Stock
2022-04-20,21.442956924438477,22.62879746631426,21.161469869244495,22.476075664885503,468974000,NVDA,Stock
2022-04-21,20.146318435668945,22.35130326457004,19.963650470316455,21.66954403745964,656209000,NVDA,Stock
2022-04-22,19.479537963867188,20.448774194089733,19.46456583016338,20.266106166595836,624713000,NVDA,Stock
2022-04-25,19.86583137512207,19.90875249765362,19.061296409060496,19.167102763902953,641566000,NVDA,Stock
2022-04-26,18.753854751586914,19.752037349254017,18.63606917460008,19.682164872038474,653143000,NVDA,Stock
2022-04-27,18.38153076171875,19.132162868752985,18.25675795525761,18.56419681004498,499460000,NVDA,Stock
2022-04-28,19.746051788330078,20.00058946914846,18.456399790239256,18.932532271184286,570327000,NVDA,Stock
2022-04-29,18.513290405273438,20.091416202004684,18.483344246987826,19.36673592565352,500435000,NVDA,Stock
2022-05-02,19.49750518798828,19.538429143635206,18.357580255112094,18.507307291350344,572049000,NVDA,Stock
2022-05-03,19.566377639770508,19.788973871458698,19.09823006494358,19.364745058425033,475751000,NVDA,Stock
2022-05-04,20.297046661376953,20.36292670436252,18.716923264105464,19.886794272202142,648855000,NVDA,Stock
2022-05-05,18.809755325317383,19.88879023761166,18.46638060148286,19.830896979302434,626331000,NVDA,Stock
2022-05-06,18.64105987548828,19.47653863115754,17.957305306226015,18.701949838466604,633297000,NVDA,Stock
2022-05-09,16.91919708251953,18.221823872571708,16.796419517005482,18.001226735376935,644455000,NVDA,Stock
2022-05-10,17.563020706176758,18.16492540380209,16.994056975947228,17.656849725721745,761474000,NVDA,Stock
2022-05-11,16.599775314331055,17.720735437950946,16.537889624665944,17.315473177135534,670167000,NVDA,Stock
2022-05-12,16.145605087280273,16.75749197618236,15.538711130202692,16.189525752393525,708728000,NVDA,Stock
2022-05-13,17.6738224029541,17.895419085973305,16.56284608468857,16.757491408122753,670437000,NVDA,Stock
2022-05-16,17.232622146606445,17.755669929807585,17.074910275486996,17.47717769010952,521446000,NVDA,Stock
2022-05-17,18.143966674804688,18.337614359005986,17.601954209019933,18.04115321874996,585830000,NVDA,Stock
2022-05-18,16.90721893310547,18.085074867941106,16.833354004544034,17.672825290748634,545161000,NVDA,Stock
2022-05-19,17.092878341674805,17.654854836825514,16.703585856926992,16.906217932771696,621310000,NVDA,Stock
2022-05-20,16.663663864135742,17.378362351094147,15.72637008787695,17.300504976295468,739105000,NVDA,Stock
2022-05-23,16.867290496826172,16.884259799237338,16.149597335733432,16.244423998494888,639889000,NVDA,Stock
2022-05-24,16.12464141845703,16.56683711237005,15.751321521154898,16.47999533080433,588550000,NVDA,Stock
2022-05-25,16.94415283203125,17.079905368342203,15.97092425449637,15.990888366746299,781132000,NVDA,Stock
2022-05-26,17.81855583190918,18.059117040216766,15.992879547579298,16.006854041805614,996575000,NVDA,Stock
2022-05-27,18.776813507080078,18.846685983699807,18.06710524448989,18.15294938885793,738379000,NVDA,Stock
2022-05-31,18.63806915283203,19.165109521892898,18.316653805372184,18.945508098862536,664100000,NVDA,Stock
2022-06-01,18.286705017089844,19.018372668475514,18.089064907013434,18.68997202318387,544514000,NVDA,Stock
2022-06-02,19.556392669677734,19.583344026505568,18.164927015741718,18.258756043613012,648656000,NVDA,Stock
2022-06-03,18.685977935791016,19.296867114895196,18.48833782299085,19.047321460231885,598779000,NVDA,Stock
2022-06-06,18.751861572265625,19.3018608947112,18.5302648665471,19.104220743979752,422406000,NVDA,Stock
2022-06-07,18.8916072845459,18.965472213893936,18.154947548277914,18.438431844745782,388914000,NVDA,Stock
2022-06-08,18.61804962158203,19.149194749604547,18.50523024581006,18.76880616680508,363252000,NVDA,Stock
2022-06-09,18.019012451171875,18.90259123258257,18.012023724724873,18.451317549760248,395574000,NVDA,Stock
2022-06-10,16.946739196777344,17.668577568814857,16.841906388728386,17.571733237446892,465248000,NVDA,Stock
2022-06-13,15.621865272521973,16.285796991229645,15.580930768510546,15.974297907810348,604153000,NVDA,Stock
2022-06-14,15.810563087463379,16.040193181616115,15.387243419466994,15.705731253766638,469680000,NVDA,Stock
2022-06-15,16.500457763671875,16.840909715372316,15.900422196048005,16.06915045143413,563936000,NVDA,Stock
2022-06-16,15.575940132141113,15.916392943958204,15.376261580184906,15.834523928335084,545749000,NVDA,Stock
2022-06-17,15.8544921875,15.969307235334867,15.303378815321718,15.622864496998716,630334000,NVDA,Stock
2022-06-21,16.53938865661621,16.98067807199888,16.380643675300785,16.448535233491057,483089000,NVDA,Stock
2022-06-22,16.33371925354004,16.63523415441029,16.15400810802624,16.199933739530884,437135000,NVDA,Stock
2022-06-23,16.198936462402344,16.558356861748027,15.827533351841502,16.49246289970144,463680000,NVDA,Stock
2022-06-24,17.098485946655273,17.112463394239207,16.283796893806354,16.473492185505755,472153000,NVDA,Stock
2022-06-27,16.841903686523438,17.302163648044232,16.599293974290056,17.28419291089453,427968000,NVDA,Stock
2022-06-28,15.956328392028809,17.17436801500843,15.91938717022095,16.87285307326158,461149000,NVDA,Stock
2022-06-29,15.517034530639648,15.794587854289764,15.145632337338009,15.788597926333088,482352000,NVDA,Stock
2022-06-30,15.134651184082031,15.541995824627715,14.838128310223647,15.336326385518298,686070000,NVDA,Stock
2022-07-01,14.49967098236084,15.038803524181898,14.368881846227062,14.875067404670956,577610000,NVDA,Stock
2022-07-05,14.939963340759277,14.946952066314836,14.032424007393097,14.152231139263709,651397000,NVDA,Stock
2022-07-06,15.105697631835938,15.29439418107764,14.765244805229912,14.985890495457909,529066000,NVDA,Stock
2022-07-07,15.832527160644531,15.919387306256189,15.364280650557577,15.431173417202471,492903000,NVDA,Stock
2022-07-08,15.812560081481934,16.01124079035871,15.364280941862427,15.405215450126937,467972000,NVDA,Stock
2022-07-11,15.127660751342773,15.502058363657559,15.013843557279245,15.501059566316355,437321000,NVDA,Stock
2022-07-12,15.057772636413574,15.406211993432294,14.853102016672706,15.243473723701138,458483000,NVDA,Stock
2022-07-13,15.139640808105469,15.350302309232742,14.44176424359817,14.56656344936429,521918000,NVDA,Stock
2022-07-14,15.347309112548828,15.44814671796971,14.704343457142825,15.083733212382363,456235000,NVDA,Stock
2022-07-15,15.736681938171387,15.75664931750774,15.420190739657972,15.633847697054403,385935000,NVDA,Stock
2022-07-18,16.075138092041016,16.86985906904583,15.976298082766748,16.275815455198785,670517000,NVDA,Stock
2022-07-19,16.964704513549805,17.082514988008967,16.146022071859953,16.45951683745517,702366000,NVDA,Stock
2022-07-20,17.77839469909668,17.904193653189743,16.774012086751018,16.919777466324557,760538000,NVDA,Stock
2022-07-21,18.02100944519043,18.114858336306213,17.516821354849537,17.856275439067566,557049000,NVDA,Stock
2022-07-22,17.291181564331055,17.93813952472273,17.109472790103464,17.864258981512034,536671000,NVDA,Stock
2022-07-25,16.996654510498047,17.096494261320483,16.622256873127547,16.991661475600253,480748000,NVDA,Stock
2022-07-26,16.506444931030273,16.89182460135965,16.451532969702946,16.86187210310339,397865000,NVDA,Stock
2022-07-27,17.761423110961914,17.907188485590435,16.885831113737122,17.004639434525583,569776000,NVDA,Stock
2022-07-28,17.955106735229492,18.110856247735352,17.41198198788179,17.946122321677514,474646000,NVDA,Stock
2022-07-29,18.133825302124023,18.214694569102246,17.663581188162542,17.784387118127725,435460000,NVDA,Stock
2022-08-01,18.411378860473633,18.815729008879483,17.96110307249906,18.15279410603998,476469000,NVDA,Stock
2022-08-02,18.496238708496094,18.907577522415323,18.06293587544904,18.092888368674423,489527000,NVDA,Stock
2022-08-03,18.862653732299805,18.937534029090394,18.107867500762456,18.154792892998703,418146000,NVDA,Stock
2022-08-04,19.18412971496582,19.243034941971874,18.72986078510058,18.818718500244813,409652000,NVDA,Stock
2022-08-05,18.958498001098633,19.198112256942917,18.636016886602366,18.779784678395007,386068000,NVDA,Stock
2022-08-08,17.764421463012695,18.20970618183614,17.21430774876725,17.473890384436373,981859000,NVDA,Stock
2022-08-09,17.058555603027344,17.41897579817991,16.69713756258524,17.224289326765735,668263000,NVDA,Stock
2022-08-10,18.067930221557617,18.08889639705217,17.289182479721063,17.6695709828763,597422000,NVDA,Stock
2022-08-11,17.913179397583008,18.676951881347318,17.847285427896846,18.101876890579906,509327000,NVDA,Stock
2022-08-12,18.678945541381836,18.68793186075144,17.92415946001401,18.130827666952836,478094000,NVDA,Stock
2022-08-15,19.00143051147461,19.133218463446653,18.58310478628588,18.670962786172225,457666000,NVDA,Stock
2022-08-16,18.848670959472656,19.111248942518355,18.47127795023342,18.88960545938237,451240000,NVDA,Stock
2022-08-17,18.3055477142334,18.657981332845214,18.115854280880267,18.49324736132435,446799000,NVDA,Stock
2022-08-18,18.74284553527832,18.83469681060988,18.1537931034188,18.2716035897907,415447000,NVDA,Stock
2022-08-19,17.820327758789062,18.490249371942653,17.74145419450282,18.376432185051982,441588000,NVDA,Stock
